순위,상품코드,판매상품 ID,상품명,정가,판매가,할인율,적립율,적립예정포인트,인물,출판사,발행(출시)일자,분야
138,9791198564191,S000214214032,피벗의 시대 2025년 경제전망,"20,000","18,000",10%,5%,"1,000",김광석,이든하우스,20240930,경제/경영
139,9788965421030,S000001020123,해커스 보카(Hackers Vocabulary),"16,900","15,210",10%,5%,840,David Cho,해커스어학연구소,20230710,외국어
140,9788934965404,S000212675550,국어 잘하는 아이가 이깁니다,"17,500","15,750",10%,5%,870,나민애,김영사,20240315,가정/육아
141,9791141077761,S000213834312,토마토 컵라면(스페셜 에디션),"9,000","8,100",10%,5%,450,차정은,부크크(Bookk),20240408,시/에세이
142,9791168418462,S000213544712,슈뻘맨의 숨은 과학 찾기 4,"15,000","13,500",10%,5%,750,슈뻘맨,미래엔아이세움,20240619,어린이(초등)
143,9791171712373,S000213740560,전지적 루이 & 후이 시점,"25,000","22,500",10%,5%,"1,250",송영관,위즈덤하우스,20240731,시/에세이
144,9791158510619,S000001767887,타이탄의 도구들(블랙 에디션),"18,000","16,200",10%,5%,900,팀 페리스,토네이도,20220620,자기계발
145,9788915999008,S000213747758,임신 출산 육아 대백과(2024-2025),"19,500","17,550",10%,5%,970,삼성출판사 편집부,삼성출판사,20240715,가정/육아
146,9791193262122,S000212731482,일류의 조건,"19,800","17,820",10%,5%,990,사이토 다카시,필름(Feelm),20240320,자기계발
147,9791194072003,S000213351103,내 언어의 한계는 내 세계의 한계이다,"18,800","16,920",10%,5%,940,김종원,마인드셋(Mindset),20240529,인문
